accumulatedFirstCnt,accumulatedSecondCnt,baseDate,firstCnt,secondCnt,sido,totalFirstCnt,totalSecondCnt
22471,0,2021-03-25 00:00:00,848,0,대전광역시,23319,0
2127,0,2021-03-25 00:00:00,159,0,세종특별자치시,2286,0
149355,95,2021-03-25 00:00:00,4484,79,경기도,153839,174
21672,5,2021-03-25 00:00:00,638,21,강원도,22310,26
21114,0,2021-03-25 00:00:00,1061,24,충청북도,22175,24
28599,0,2021-03-25 00:00:00,797,80,충청남도,29396,80
31309,0,2021-03-25 00:00:00,2116,23,전라북도,33425,23
35671,0,2021-03-25 00:00:00,2163,67,전라남도,37834,67
37623,0,2021-03-25 00:00:00,955,0,경상북도,38578,0
52468,0,2021-03-25 00:00:00,2535,105,경상남도,55003,105
8465,0,2021-03-25 00:00:00,146,0,제주특별자치도,8611,0
734985,2691,2021-03-26 00:00:00,32466,1142,전국,767451,3833
122750,1725,2021-03-26 00:00:00,4629,446,서울특별시,127379,2171
60861,62,2021-03-26 00:00:00,3211,48,부산광역시,64072,110
35324,217,2021-03-26 00:00:00,1207,202,대구광역시,36531,419
42169,173,2021-03-26 00:00:00,1814,47,인천광역시,43983,220
31153,15,2021-03-26 00:00:00,1648,12,광주광역시,32801,27
23330,0,2021-03-26 00:00:00,746,0,대전광역시,24076,0
15095,0,2021-03-26 00:00:00,626,32,울산광역시,15721,32
2286,0,2021-03-26 00:00:00,90,0,세종특별자치시,2376,0
154341,174,2021-03-26 00:00:00,6277,49,경기도,160618,223
22309,26,2021-03-26 00:00:00,913,20,강원도,23222,46
22198,24,2021-03-26 00:00:00,1227,15,충청북도,23425,39
29419,80,2021-03-26 00:00:00,2022,62,충청남도,31441,142
33437,23,2021-03-26 00:00:00,2428,25,전라북도,35865,48
37956,67,2021-03-26 00:00:00,1377,75,전라남도,39333,142
38669,0,2021-03-26 00:00:00,1467,0,경상북도,40136,0
55052,105,2021-03-26 00:00:00,2629,109,경상남도,57681,214
8636,0,2021-03-26 00:00:00,155,0,제주특별자치도,8791,0
769429,3833,2021-03-27 00:00:00,22845,1399,전국,792274,5232
128061,2171,2021-03-27 00:00:00,4735,468,서울특별시,132796,2639
64310,110,2021-03-27 00:00:00,1863,52,부산광역시,66173,162
36557,419,2021-03-27 00:00:00,781,240,대구광역시,37338,659
44096,220,2021-03-27 00:00:00,1713,37,인천광역시,45809,257
24233,0,2021-03-27 00:00:00,520,0,대전광역시,24753,0
32812,27,2021-03-27 00:00:00,907,52,광주광역시,33719,79
15748,32,2021-03-27 00:00:00,480,0,울산광역시,16228,32
2376,0,2021-03-27 00:00:00,40,0,세종특별자치시,2416,0
160944,223,2021-03-27 00:00:00,4733,39,경기도,165677,262
23223,46,2021-03-27 00:00:00,753,26,강원도,23976,72
23509,39,2021-03-27 00:00:00,821,22,충청북도,24330,61
31552,142,2021-03-27 00:00:00,1570,196,충청남도,33122,338
35950,48,2021-03-27 00:00:00,1357,24,전라북도,37307,72
39342,142,2021-03-27 00:00:00,675,78,전라남도,40017,220
40189,0,2021-03-27 00:00:00,706,0,경상북도,40895,0
57700,214,2021-03-27 00:00:00,888,165,경상남도,58588,379
8827,0,2021-03-27 00:00:00,303,0,제주특별자치도,9130,0
792802,5232,2021-03-28 00:00:00,1056,0,전국,793858,5232
132813,2639,2021-03-28 00:00:00,180,0,서울특별시,132993,2639
66232,162,2021-03-28 00:00:00,114,0,부산광역시,66346,162
37348,659,2021-03-28 00:00:00,16,0,대구광역시,37364,659
45823,257,2021-03-28 00:00:00,3,0,인천광역시,45826,257
33736,79,2021-03-28 00:00:00,30,0,광주광역시,33766,79
24831,0,2021-03-28 00:00:00,0,0,대전광역시,24831,0
16228,32,2021-03-28 00:00:00,0,0,울산광역시,16228,32
2416,0,2021-03-28 00:00:00,0,0,세종특별자치시,2416,0
165993,262,2021-03-28 00:00:00,369,0,경기도,166362,262
23976,72,2021-03-28 00:00:00,24,0,강원도,24000,72
24330,61,2021-03-28 00:00:00,60,0,충청북도,24390,61
33132,338,2021-03-28 00:00:00,202,0,충청남도,33334,338
37307,72,2021-03-28 00:00:00,11,0,전라북도,37318,72
40017,220,2021-03-28 00:00:00,0,0,전라남도,40017,220
40902,0,2021-03-28 00:00:00,0,0,경상북도,40902,0
58588,379,2021-03-28 00:00:00,47,0,경상남도,58635,379
9130,0,2021-03-28 00:00:00,0,0,제주특별자치도,9130,0
793955,5232,2021-03-29 00:00:00,11,0,전국,793966,5232
132993,2639,2021-03-29 00:00:00,0,0,서울특별시,132993,2639
66346,162,2021-03-29 00:00:00,0,0,부산광역시,66346,162
37364,659,2021-03-29 00:00:00,0,0,대구광역시,37364,659
33766,79,2021-03-29 00:00:00,0,0,광주광역시,33766,79
45826,257,2021-03-29 00:00:00,0,0,인천광역시,45826,257
16228,32,2021-03-29 00:00:00,0,0,울산광역시,16228,32
24915,0,2021-03-29 00:00:00,0,0,대전광역시,24915,0
2416,0,2021-03-29 00:00:00,0,0,세종특별자치시,2416,0
24000,72,2021-03-29 00:00:00,0,0,강원도,24000,72
166375,262,2021-03-29 00:00:00,0,0,경기도,166375,262
24390,61,2021-03-29 00:00:00,0,0,충청북도,24390,61
33334,338,2021-03-29 00:00:00,0,0,충청남도,33334,338
37318,72,2021-03-29 00:00:00,0,0,전라북도,37318,72
40017,220,2021-03-29 00:00:00,0,0,전라남도,40017,220
40902,0,2021-03-29 00:00:00,0,0,경상북도,40902,0
58635,379,2021-03-29 00:00:00,11,0,경상남도,58646,379
9130,0,2021-03-29 00:00:00,0,0,제주특별자치도,9130,0
795910,5232,2021-03-30 00:00:00,26538,919,전국,822448,6151
134158,2639,2021-03-30 00:00:00,2553,394,서울특별시,136711,3033
66498,162,2021-03-30 00:00:00,2420,44,부산광역시,68918,206
37367,659,2021-03-30 00:00:00,927,0,대구광역시,38294,659
33801,79,2021-03-30 00:00:00,1213,61,광주광역시,35014,140
45880,257,2021-03-30 00:00:00,1282,7,인천광역시,47162,264
16277,32,2021-03-30 00:00:00,422,0,울산광역시,16699,32
25027,0,2021-03-30 00:00:00,683,0,대전광역시,25710,0
2417,0,2021-03-30 00:00:00,121,0,세종특별자치시,2538,0
166624,262,2021-03-30 00:00:00,5915,74,경기도,172539,336
24016,72,2021-03-30 00:00:00,570,143,강원도,24586,215
24395,61,2021-03-30 00:00:00,962,12,충청북도,25357,73
33399,338,2021-03-30 00:00:00,1121,58,충청남도,34520,396
37318,72,2021-03-30 00:00:00,1805,12,전라북도,39123,84
40019,220,2021-03-30 00:00:00,1739,32,전라남도,41758,252
40920,0,2021-03-30 00:00:00,2019,0,경상북도,42939,0
58664,379,2021-03-30 00:00:00,2454,82,경상남도,61118,461
9130,0,2021-03-30 00:00:00,332,0,제주특별자치도,9462,0
823795,6151,2021-03-31 00:00:00,28407,2034,전국,852202,8185
137081,3033,2021-03-31 00:00:00,2359,366,서울특별시,139440,3399
