날짜,시간,지역,Latitude,Longitude
2021/06/04,15:44:01,[포천시청],37.8949148,127.2003551
2021/06/04,11:45:34,[용산구청],37.5325896,126.9900429
2021/06/04,9:57:25,[영동군청],36.1750235,127.7834305
2021/06/06,16:35:43,[고양시청],37.6582159,126.8320138
2021/06/06,16:18:25,[당진시청],36.8899379,126.645799
2021/06/06,9:45:17,[창녕군청],35.5445928,128.492328
2021/06/09,20:26:52,[부천시청],37.504681,126.763618
2021/06/09,17:57:40,[용산구청],37.5325896,126.9900429
2021/06/09,16:01:58,[원주시청],37.3420473,127.91973
2021/06/10,15:52:33,[광진구청],37.5385333,127.0823772
2021/06/12,16:23:07,[당진시청],36.8899379,126.645799
2021/06/12,15:38:32,[양산시청],35.3350077,129.0370575
2021/06/13,14:07:18,[원주시청],37.3420473,127.91973
2021/06/13,12:55:58,[양산시청],35.3350077,129.0370575
2021/06/16,17:16:38,[원주시청],37.3420473,127.91973
2021/06/17,18:42:42,[고양시청],37.6582159,126.8320138
2021/06/17,15:00:31,[용인시청],37.2410448,127.1779315
2021/06/20,20:31:49,[횡성군청],37.4917027,127.9850466
2021/06/21,13:55:33,[광주광역시],35.1595454,126.8526012
2021/06/22,10:29:45,[영동군청],36.1750235,127.7834305
2021/06/23,10:22:21,[용산구청],37.5325896,126.9900429
2021/06/24,14:24:55,[고양시청],37.6582159,126.8320138
2021/06/25,19:28:58,[고양시청],37.6582159,126.8320138
2021/06/25,19:21:45,[고양시청],37.6582159,126.8320138
2021/06/25,17:31:07,[춘천시청],37.8812763,127.7300762
2021/06/25,17:14:36,[함평군청],35.065912,126.5166908
2021/06/25,13:52:24,[광주광역시],35.1595454,126.8526012
2021/06/26,16:59:57,[고양시청],37.6582159,126.8320138
2021/06/26,14:53:33,[고양시청],37.6582159,126.8320138
2021/06/27,11:53:25,[고양시청],37.6582159,126.8320138
2021/06/28,13:14:13,[광주광역시],35.1595454,126.8526012
2021/06/28,10:35:55,[아산시청],36.7898211,127.0025933
2021/06/29,20:13:24,[중대본],37.5070695,126.9595008
2021/06/29,18:23:40,[원주시청],37.3420473,127.91973
2021/06/29,11:13:15,[고양시청],37.6582159,126.8320138
2021/06/29,10:19:41,[광주광역시],35.1595454,126.8526012
2021/06/30,18:16:26,[고양시청],37.6582159,126.8320138
2021/06/30,13:41:39,[서울시청],37.5662952,126.9779451
2021/06/30,10:03:18,[김천시청],36.139867,128.1136501
